"","County","totpop","medage","totpoprace","totpopwhite","totpopeduc","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",101482,42.3,101482,93732,69168,8638,26292,92.3631777063913,8.51185431899253,2012
"2","Allegheny",1229338,41,1229338,997613,871384,188026,28405,81.1504240493664,15.2948985551573,2012
"3","Armstrong",68409,45.5,0,0,50003,5822,23179,0,8.51057609378883,2012
"4","Beaver",170245,44.8,170245,154812,122708,17924,26419,90.9348292167171,10.528356192546,2012
"5","Berks",413491,39.7,413491,355172,274513,38661,26013,85.8959445308362,9.34990120703957,2012
"6","Blair",127121,42.6,127121,122217,89086,9900,22338,96.142258163482,7.78785566507501,2012
"7","Bucks",627053,42.5,627053,560904,439920,100003,34349,89.4508119728316,15.9480937018083,2012
"8","Butler",184970,42.3,184970,178451,127213,25011,27465,96.4756446991404,13.5216521598097,2012
"9","Cambria",141584,44.1,141584,132895,100802,12446,21986,93.8630071194485,8.79054130410216,2012
"10","Carbon",65006,45.5,0,0,47830,3888,25319,0,5.98098637048888,2012
"11","Centre",155171,29.3,155171,137936,87461,17811,22307,88.8928988019669,11.4783045801084,2012
"12","Chester",506575,40,506575,439939,338468,101219,37252,86.8457780190495,19.9810492029808,2012
"13","Clearfield",81184,43.5,81184,77287,58603,5186,21430,95.1997930626724,6.38795821836815,2012
"14","Columbia",66887,40.4,0,0,43576,5961,24912,0,8.91204568899786,2012
"15","Crawford",87598,42.3,87598,84032,59566,7252,21219,95.9291308020731,8.27872782483618,2012
"16","Cumberland",238614,41.3,238614,214171,165316,31784,29158,89.7562590627541,13.3202578222569,2012
"17","Dauphin",269665,39.7,269665,195620,185433,31840,29571,72.5418574898485,11.8072423191738,2012
"18","Delaware",561098,39.1,561098,402719,373658,76640,31106,71.7733800512566,13.6589330206132,2012
"19","Erie",280646,38.5,280646,245770,185586,30515,23193,87.5729566785203,10.8731284251334,2012
"20","Fayette",135660,44.1,135660,126083,97956,9124,21685,92.9404393336282,6.72563762347044,2012
"21","Franklin",151275,39.8,151275,140927,103491,13377,27573,93.1594777722691,8.8428358948934,2012
"22","Indiana",88218,39.2,88218,83344,56471,7223,19847,94.4750504432202,8.18767145027092,2012
"23","Lackawanna",214477,42,214477,200007,149136,23441,23230,93.2533558376889,10.9293770427598,2012
"24","Lancaster",526823,38.5,526823,466457,347124,57404,27633,88.5415025539887,10.8962592749367,2012
"25","Lawrence",89871,44.4,89871,84227,63967,9189,24067,93.7198873941538,10.2246553393197,2012
"26","Lebanon",135251,41,135251,119399,92821,10727,27088,88.2795690974558,7.93117980643396,2012
"27","Lehigh",355245,39.6,355245,284205,241563,42503,26502,80.0025334628214,11.9644189221523,2012
"28","Luzerne",321027,43.1,321027,290631,227003,28816,23090,90.5316375258156,8.97619203369187,2012
"29","Lycoming",117168,41.3,117168,107783,80310,9673,24758,91.9901338249351,8.25566707633484,2012
"30","Mercer",115655,43.4,115655,105881,80369,11164,21655,91.5490035017941,9.65284682893087,2012
"31","Monroe",168798,41.2,168798,134373,113419,14982,25054,79.6058010165997,8.87569757935521,2012
"32","Montgomery",808460,41,808460,660078,564697,147752,37177,81.6463399549761,18.2757341117681,2012
"33","Northampton",299267,41.6,299267,259233,204478,31868,27405,86.622648003288,10.6486849535699,2012
"34","Northumberland",94428,43.8,94428,89254,68537,6903,22717,94.5206930147837,7.31033168128098,2012
"35","Philadelphia",1547607,33.6,1547607,637549,1004571,140936,21038,41.1957945395698,9.10670473834766,2012
"36","Schuylkill",147063,43.7,147063,139224,107830,9050,23625,94.6696313824687,6.15382523136343,2012
"37","Somerset",76957,45.2,76957,73818,57008,5115,21809,95.9210987954312,6.64656886313136,2012
"38","Washington",208716,44,208716,196349,148353,25408,27464,94.0747235477874,12.1734797523908,2012
"39","Westmoreland",363395,45.7,363395,345272,264558,44938,25815,95.0128647890037,12.3661580373973,2012
"40","York",437846,40.6,437846,390175,300874,42079,28679,89.112381979052,9.61045664457366,2012
