"","County","totpop","medage","totpoprace","totpopwhite","totpopeduc","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",100779,38.5,100779,94455,67707,9025,26019,93.7248831601822,8.95523869060022,2007
"2","Allegheny",1219210,41.8,1219210,1007644,846362,165852,25327,82.6472879979659,13.6032348816037,2007
"3","Armstrong",69059,43.4,0,0,50143,5456,20608,0,7.90049088460592,2007
"4","Beaver",173074,43.8,173074,159176,122952,16573,22965,91.9699088251268,9.57567283358563,2007
"5","Berks",401955,38.2,401955,340568,267685,38508,26385,84.7278924257691,9.58017688547225,2007
"6","Blair",125527,41.5,125527,121467,88196,10107,22239,96.7656360782939,8.05165422578409,2007
"7","Bucks",621144,40.5,621144,565748,423692,86139,32055,91.0816171451387,13.8677987712994,2007
"8","Butler",181934,40,181934,176629,123331,23589,25659,97.0841074235712,12.9656908549254,2007
"9","Cambria",144995,42.6,144995,137490,102189,11031,19512,94.8239594468775,7.6078485465016,2007
"10","Centre",144658,28.9,144658,129771,80608,16558,17363,89.7088304829322,11.446307843327,2007
"11","Chester",486345,38.3,486345,423545,321210,93216,38617,87.0873556837224,19.1666409647472,2007
"12","Clearfield",81452,42.3,0,0,58386,5346,0,0,6.56337474831803,2007
"13","Columbia",64726,38.2,64726,62775,42809,4490,19550,96.9857553378859,6.93693415319964,2007
"14","Crawford",88663,40.2,88663,85621,60188,6711,20049,96.5690310501562,7.56911000078951,2007
"15","Cumberland",228019,39.6,228019,210808,155518,31594,29019,92.4519447940742,13.8558628886189,2007
"16","Dauphin",255710,39.1,255710,193468,175137,29449,28236,75.6591451253373,11.5165617300849,2007
"17","Delaware",554399,38.9,554399,418850,361232,70268,29702,75.5502805740992,12.6746260364827,2007
"18","Erie",279092,38.1,279092,252275,182312,26497,21763,90.3913404898743,9.49400197784243,2007
"19","Fayette",144556,42.4,144556,136225,103425,9101,17955,94.2368355516201,6.29582998976175,2007
"20","Franklin",141665,39.2,141665,133741,98050,8956,24431,94.4065224296756,6.32195672890269,2007
"21","Indiana",87690,38.9,87690,84164,56031,7329,18503,95.9790169916752,8.35785152240848,2007
"22","Lackawanna",209330,41.1,209330,198160,144787,20336,22097,94.6639277695505,9.71480437586586,2007
"23","Lancaster",498465,37.4,498465,453647,328403,52301,27339,91.0087970068109,10.4924117039311,2007
"24","Lawrence",90991,41.7,0,0,63252,8516,20244,0,9.35916739018145,2007
"25","Lebanon",127889,39.6,127889,116911,88777,11079,26048,91.4159935569126,8.66298117899116,2007
"26","Lehigh",337343,39.2,337343,275458,228764,36481,26137,81.6551699605446,10.8142157981639,2007
"27","Luzerne",312265,41.9,312265,295071,220548,28721,22133,94.4937793220502,9.1976366227403,2007
"28","Lycoming",116811,40.9,116811,108563,80128,10067,20740,92.9390211538297,8.61819520421878,2007
"29","Mercer",116809,41.8,116809,107897,81116,9175,21085,92.3704509070363,7.8547029766542,2007
"30","Monroe",164722,38.7,164722,133373,106665,15153,26975,80.968540935637,9.19913551316764,2007
"31","Montgomery",776172,40.7,776172,651620,531856,129936,35558,83.9530413361987,16.7406193472581,2007
"32","Northampton",293522,39.1,293522,256674,197381,30868,26957,87.4462561579711,10.5164178494287,2007
"33","Northumberland",91003,42.6,91003,86977,65961,6798,19940,95.5759700229663,7.47008340384383,2007
"34","Philadelphia",1449634,35.6,1449634,621131,927446,115031,20875,42.847435973494,7.93517536150504,2007
"35","Schuylkill",147269,41.9,147269,140909,107362,10438,21801,95.6813721828762,7.08771024451853,2007
"36","Somerset",77861,43,0,0,56388,5310,18904,0,6.81984562232697,2007
"37","Washington",205553,42.2,205553,194264,145222,21541,23905,94.5079857749583,10.4795356915248,2007
"38","Westmoreland",362326,43.5,362326,347460,261283,40549,23832,95.8970650739941,11.1913028598555,2007
"39","York",421049,39.2,421049,382005,289310,44722,28681,90.7269700201164,10.621566611012,2007
