"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",103009,44.3,95929,8696,30717,93.1268141618693,8.44198079779437,2019
"2","Allegheny",1216045,40.5,965716,219464,37278,79.4144953517345,18.0473584447944,2019
"3","Armstrong",64735,47.3,0,5305,30427,0,8.19494863674983,2019
"4","Beaver",163929,45.3,147858,21231,32449,90.196365499698,12.9513386893106,2019
"5","Berks",421164,39.9,338473,46869,32628,80.3660806716623,11.128444026555,2019
"6","Blair",121829,43.1,0,13087,29996,0,10.742105738371,2019
"7","Bucks",628270,44,544515,112760,43303,86.6689480637306,17.9476976459166,2019
"8","Butler",187853,43.8,180218,32941,37181,95.9356518128537,17.5355197947331,2019
"9","Cambria",130192,46.3,121803,12408,26776,93.5564397197985,9.53053951087624,2019
"10","Carbon",64182,47.6,60043,5726,29255,93.5511514131688,8.92150447165872,2019
"11","Centre",162385,33.4,142448,21785,26855,87.722388151615,13.4156479970441,2019
"12","Chester",524989,40.4,431961,114996,46870,82.2800096763932,21.9044589505685,2019
"13","Clearfield",79255,45.7,74153,6167,25728,93.5625512585957,7.78121254179547,2019
"14","Columbia",64964,41.5,61974,6975,30054,95.3974508958808,10.7367157194754,2019
"15","Crawford",84629,43.9,80721,8054,27158,95.382197591842,9.51683229153127,2019
"16","Cumberland",253370,41.3,220155,42061,38476,86.8907131862494,16.6006235939535,2019
"17","Dauphin",278299,39.6,192332,38007,33636,69.1098422919234,13.6568942037161,2019
"18","Delaware",566747,39,383843,91180,36907,67.7273986452509,16.0883074811159,2019
"19","Erie",269728,40.2,231216,34869,28179,85.7219124451299,12.9274676711354,2019
"20","Fayette",129274,45.4,118980,11195,26734,92.0370685520677,8.65990067608336,2019
"21","Franklin",155027,41.8,140780,14550,33518,90.8099879375851,9.38546188728415,2019
"22","Indiana",84073,40,79268,7954,25898,94.284728747636,9.46082571098926,2019
"23","Lackawanna",209674,42,188220,27364,28794,89.7679254461688,13.0507359043086,2019
"24","Lancaster",545724,38.5,475780,68160,33951,87.1832648005219,12.4898300239682,2019
"25","Lawrence",85512,45.2,0,8999,28167,0,10.5236691926279,2019
"26","Lebanon",141793,41.4,121918,13483,32044,85.983088022681,9.50893203472668,2019
"27","Lehigh",369318,39,298131,47347,31131,80.7247412798726,12.820117080673,2019
"28","Luzerne",317417,42.5,266628,28992,30345,83.9992817019882,9.13372629695322,2019
"29","Lycoming",113299,42.1,104295,12418,29512,92.0528866097671,10.9603791736909,2019
"30","Mercer",109424,45.5,99721,11396,29088,91.1326582833748,10.4145342886387,2019
"31","Monroe",170271,43.1,132835,20295,30635,78.0138720040406,11.9192346318516,2019
"32","Montgomery",830915,41.1,654804,167194,45657,78.8051726109169,20.1216730953226,2019
"33","Northampton",305285,41.9,254300,41470,34745,83.29921221154,13.584028039373,2019
"34","Northumberland",90843,44.1,86161,7640,27456,94.8460530805896,8.41011415298922,2019
"35","Philadelphia",1584064,34.7,617726,195772,27270,38.9962779281645,12.3588440871076,2019
"36","Schuylkill",141359,44.7,133171,11939,30798,94.2076556851704,8.4458718581767,2019
"37","Somerset",73447,46.4,69857,6310,27102,95.1121216659632,8.5912290495187,2019
"38","Washington",206865,44.3,192989,30201,32467,93.2922437338361,14.5993764049017,2019
"39","Westmoreland",348899,47,329199,49531,32229,94.3536668204839,14.1963720159702,2019
"40","York",449058,41,391737,54403,35477,87.2352791844261,12.114916113286,2019
